Location,TimeFrame,DataFormat,Data,Fips
Sheepshead Bay,2005,Number,26157,315
Brownsville,2005,Number,40835,316
East Flatbush,2005,Number,17487,317
Canarsie,2005,Number,17900,318
Astoria,2005,Number,35800,401
Sunnyside/Woodside,2005,Number,17619,402
Jackson Heights,2005,Number,29228,403
Elmhurst/Corona,2005,Number,25216,404
Ridgewood/Glendale,2005,Number,22893,405
Rego Park/Forest Hills,2005,Number,10275,406
Flushing,2005,Number,24097,407
Fresh Meadows/Briarwood,2005,Number,11044,408
Woodhaven,2005,Number,17907,409
Howard Beach,2005,Number,10382,410
Bayside,2005,Number,6649,411
Jamaica/St. Albans,2005,Number,23853,412
Queens Village,2005,Number,9602,413
The Rockaways,2005,Number,19136,414
St. George,2005,Number,26063,501
South Beach,2005,Number,16558,502
Tottenville,2005,Number,7330,503
Bronx,2005,Number,379959,36005
Brooklyn,2005,Number,545611,36047
Manhattan,2005,Number,272890,36061
Queens,2005,Number,263701,36081
Staten Island,2005,Number,49951,36085
New York City,2005,Number,1512112,3651000
Battery Park/Tribeca,2011,Percent,0.0748,101
Greenwich Village,2011,Percent,0.0748,102
Lower East Side,2011,Percent,0.28605,103
Chelsea/Clinton,2011,Percent,0.13131,104
Midtown Business District,2011,Percent,0.13131,105
Murray Hill/Stuyvesant,2011,Percent,0.10974,106
Upper West Side,2011,Percent,0.11511,107
Upper East Side,2011,Percent,0.06634,108
Manhattanville,2011,Percent,0.29605,109
Central Harlem,2011,Percent,0.2649,110
East Harlem,2011,Percent,0.29286,111
Washington Heights,2011,Percent,0.25768,112
Mott Haven,2011,Percent,0.40576,201
Hunts Point,2011,Percent,0.40576,202
Morrisania,2011,Percent,0.42909,203
Concourse/Highbridge,2011,Percent,0.41065,204
University Heights,2011,Percent,0.4032,205
East Tremont,2011,Percent,0.42909,206
Bedford Park,2011,Percent,0.3172,207
Riverdale,2011,Percent,0.18676,208
Unionport/Soundview,2011,Percent,0.27721,209
Throgs Neck,2011,Percent,0.12621,210
Pelham Parkway,2011,Percent,0.20972,211
Williamsbridge,2011,Percent,0.18791,212
Williamsburg/Greenpoint,2011,Percent,0.31695,301
Fort Greene/Brooklyn Hts,2011,Percent,0.19374,302
Bedford Stuyvesant,2011,Percent,0.32239,303
Bushwick,2011,Percent,0.32209,304
East New York,2011,Percent,0.34031,305
Park Slope,2011,Percent,0.1035,306
Sunset Park,2011,Percent,0.23463,307
Crown Heights North,2011,Percent,0.26859,308
Crown Heights South,2011,Percent,0.21601,309
Bay Ridge,2011,Percent,0.14861,310
Bensonhurst,2011,Percent,0.18076,311
Borough Park,2011,Percent,0.30573,312
Coney Island,2011,Percent,0.26247,313
Flatbush/Midwood,2011,Percent,0.22037,314
Sheepshead Bay,2011,Percent,0.14959,315
Brownsville,2011,Percent,0.38223,316
East Flatbush,2011,Percent,0.17571,317
Canarsie,2011,Percent,0.13694,318
Astoria,2011,Percent,0.20641,401
Sunnyside/Woodside,2011,Percent,0.1541,402
Jackson Heights,2011,Percent,0.2144,403
Elmhurst/Corona,2011,Percent,0.23514,404
Ridgewood/Glendale,2011,Percent,0.15148,405
Rego Park/Forest Hills,2011,Percent,0.07109,406
Flushing,2011,Percent,0.13449,407
Fresh Meadows/Briarwood,2011,Percent,0.15567,408
Woodhaven,2011,Percent,0.17907,409
Howard Beach,2011,Percent,0.14306,410
Bayside,2011,Percent,0.10848,411
Jamaica/St. Albans,2011,Percent,0.16539,412
Queens Village,2011,Percent,0.08957,413
The Rockaways,2011,Percent,0.20755,414
St. George,2011,Percent,0.2105,501
South Beach,2011,Percent,0.07697,502
Tottenville,2011,Percent,0.0534,503
Bronx,2011,Percent,0.30366,36005
Brooklyn,2011,Percent,0.23594,36047
Manhattan,2011,Percent,0.18284,36061
Queens,2011,Percent,0.15816,36081
Staten Island,2011,Percent,0.11708,36085
New York City,2011,Percent,0.20898,3651000
Battery Park/Tribeca,2010,Percent,0.09876,101
Greenwich Village,2010,Percent,0.09876,102
Lower East Side,2010,Percent,0.22163,103
Chelsea/Clinton,2010,Percent,0.11735,104
Midtown Business District,2010,Percent,0.11735,105
Murray Hill/Stuyvesant,2010,Percent,0.07026,106
Upper West Side,2010,Percent,0.10407,107
Upper East Side,2010,Percent,0.06758,108
Manhattanville,2010,Percent,0.2872,109
Central Harlem,2010,Percent,0.28065,110
East Harlem,2010,Percent,0.30822,111
Washington Heights,2010,Percent,0.19533,112
Mott Haven,2010,Percent,0.41124,201
Hunts Point,2010,Percent,0.41124,202
Morrisania,2010,Percent,0.43514,203
Concourse/Highbridge,2010,Percent,0.3502,204
University Heights,2010,Percent,0.40038,205
East Tremont,2010,Percent,0.43514,206
Bedford Park,2010,Percent,0.32708,207
Riverdale,2010,Percent,0.18464,208
Unionport/Soundview,2010,Percent,0.2539,209
Throgs Neck,2010,Percent,0.1638,210
Pelham Parkway,2010,Percent,0.21115,211
Williamsbridge,2010,Percent,0.21212,212
Williamsburg/Greenpoint,2010,Percent,0.26491,301
Fort Greene/Brooklyn Hts,2010,Percent,0.18115,302
Bedford Stuyvesant,2010,Percent,0.30716,303
Bushwick,2010,Percent,0.28452,304
East New York,2010,Percent,0.3602,305
Park Slope,2010,Percent,0.11346,306
Sunset Park,2010,Percent,0.26704,307
Crown Heights North,2010,Percent,0.25885,308
Crown Heights South,2010,Percent,0.25593,309
Bay Ridge,2010,Percent,0.15348,310
Bensonhurst,2010,Percent,0.13953,311
Borough Park,2010,Percent,0.32227,312
Coney Island,2010,Percent,0.27973,313
Flatbush/Midwood,2010,Percent,0.22442,314
Sheepshead Bay,2010,Percent,0.13749,315
Brownsville,2010,Percent,0.39763,316
East Flatbush,2010,Percent,0.15402,317
Canarsie,2010,Percent,0.11427,318
Astoria,2010,Percent,0.18971,401
Sunnyside/Woodside,2010,Percent,0.12217,402
Jackson Heights,2010,Percent,0.22375,403
Elmhurst/Corona,2010,Percent,0.19163,404
Ridgewood/Glendale,2010,Percent,0.17142,405
Rego Park/Forest Hills,2010,Percent,0.09691,406
Flushing,2010,Percent,0.14254,407
Fresh Meadows/Briarwood,2010,Percent,0.13734,408
Woodhaven,2010,Percent,0.13058,409
Howard Beach,2010,Percent,0.11582,410
Bayside,2010,Percent,0.07264,411
Jamaica/St. Albans,2010,Percent,0.18832,412
Queens Village,2010,Percent,0.07113,413
The Rockaways,2010,Percent,0.22422,414
St. George,2010,Percent,0.17918,501
South Beach,2010,Percent,0.09716,502
Tottenville,2010,Percent,0.07009,503
Bronx,2010,Percent,0.30234,36005
Brooklyn,2010,Percent,0.2302,36047
Manhattan,2010,Percent,0.16401,36061
Queens,2010,Percent,0.15009,36081
Staten Island,2010,Percent,0.11759,36085
New York City,2010,Percent,0.20111,3651000
Battery Park/Tribeca,2009,Percent,0.0789,101
Greenwich Village,2009,Percent,0.0789,102
Lower East Side,2009,Percent,0.25925,103
Chelsea/Clinton,2009,Percent,0.12706,104
Midtown Business District,2009,Percent,0.12706,105
Murray Hill/Stuyvesant,2009,Percent,0.06859,106
Upper West Side,2009,Percent,0.08798,107
Upper East Side,2009,Percent,0.05886,108
Manhattanville,2009,Percent,0.25273,109
Central Harlem,2009,Percent,0.27142,110
East Harlem,2009,Percent,0.29989,111
Washington Heights,2009,Percent,0.25862,112
Mott Haven,2009,Percent,0.41618,201
Hunts Point,2009,Percent,0.41618,202
Morrisania,2009,Percent,0.38878,203
Concourse/Highbridge,2009,Percent,0.31397,204
University Heights,2009,Percent,0.40861,205
East Tremont,2009,Percent,0.38878,206
Bedford Park,2009,Percent,0.35023,207
Riverdale,2009,Percent,0.13374,208
Unionport/Soundview,2009,Percent,0.27925,209
Throgs Neck,2009,Percent,0.13645,210
Pelham Parkway,2009,Percent,0.17434,211
Williamsbridge,2009,Percent,0.16654,212
Williamsburg/Greenpoint,2009,Percent,0.31735,301
Fort Greene/Brooklyn Hts,2009,Percent,0.17364,302
Bedford Stuyvesant,2009,Percent,0.34202,303
Bushwick,2009,Percent,0.3353,304
East New York,2009,Percent,0.29184,305
Park Slope,2009,Percent,0.08424,306
Sunset Park,2009,Percent,0.27567,307
Crown Heights North,2009,Percent,0.24773,308
Crown Heights South,2009,Percent,0.19654,309
Bay Ridge,2009,Percent,0.15556,310
Bensonhurst,2009,Percent,0.14409,311
Borough Park,2009,Percent,0.27555,312
Coney Island,2009,Percent,0.19965,313
Flatbush/Midwood,2009,Percent,0.25054,314
Sheepshead Bay,2009,Percent,0.11922,315
Brownsville,2009,Percent,0.36003,316
East Flatbush,2009,Percent,0.11725,317
Canarsie,2009,Percent,0.09303,318
Astoria,2009,Percent,0.15914,401
Sunnyside/Woodside,2009,Percent,0.10213,402
Jackson Heights,2009,Percent,0.16037,403
Elmhurst/Corona,2009,Percent,0.22323,404
Ridgewood/Glendale,2009,Percent,0.12119,405
Rego Park/Forest Hills,2009,Percent,0.10436,406
Flushing,2009,Percent,0.11425,407
Fresh Meadows/Briarwood,2009,Percent,0.12888,408
Woodhaven,2009,Percent,0.11555,409
Howard Beach,2009,Percent,0.08073,410
Bayside,2009,Percent,0.07559,411
Jamaica/St. Albans,2009,Percent,0.12706,412
Queens Village,2009,Percent,0.06166,413
The Rockaways,2009,Percent,0.20095,414
St. George,2009,Percent,0.17386,501
South Beach,2009,Percent,0.11336,502
Tottenville,2009,Percent,0.04342,503
Bronx,2009,Percent,0.28544,36005
Brooklyn,2009,Percent,0.21794,36047
Manhattan,2009,Percent,0.16553,36061
Queens,2009,Percent,0.12595,36081
Staten Island,2009,Percent,0.11202,36085
New York City,2009,Percent,0.18725,3651000
Battery Park/Tribeca,2008,Percent,0.08818,101
Greenwich Village,2008,Percent,0.08818,102
Lower East Side,2008,Percent,0.27695,103
Chelsea/Clinton,2008,Percent,0.1425,104
Midtown Business District,2008,Percent,0.1425,105
Murray Hill/Stuyvesant,2008,Percent,0.06263,106
Upper West Side,2008,Percent,0.09902,107
Upper East Side,2008,Percent,0.05419,108
Manhattanville,2008,Percent,0.27435,109
Central Harlem,2008,Percent,0.2785,110
East Harlem,2008,Percent,0.27149,111
Washington Heights,2008,Percent,0.24169,112
Mott Haven,2008,Percent,0.44243,201
Hunts Point,2008,Percent,0.44243,202
Morrisania,2008,Percent,0.43046,203
Concourse/Highbridge,2008,Percent,0.37509,204
University Heights,2008,Percent,0.34429,205
East Tremont,2008,Percent,0.43046,206
Bedford Park,2008,Percent,0.30572,207
Riverdale,2008,Percent,0.15048,208
Unionport/Soundview,2008,Percent,0.21418,209
Throgs Neck,2008,Percent,0.09074,210
Pelham Parkway,2008,Percent,0.19987,211
Williamsbridge,2008,Percent,0.16757,212
Williamsburg/Greenpoint,2008,Percent,0.30755,301
Fort Greene/Brooklyn Hts,2008,Percent,0.20598,302
Bedford Stuyvesant,2008,Percent,0.28204,303
Bushwick,2008,Percent,0.26925,304
East New York,2008,Percent,0.27848,305
Park Slope,2008,Percent,0.10925,306
Sunset Park,2008,Percent,0.22816,307
Crown Heights North,2008,Percent,0.26152,308
Crown Heights South,2008,Percent,0.1878,309
Bay Ridge,2008,Percent,0.12148,310
Bensonhurst,2008,Percent,0.16935,311
Borough Park,2008,Percent,0.28179,312
